"GeographyCode","KS606EW0001","KS606EW0002","KS606EW0003","KS606EW0004","KS606EW0005","KS606EW0006","KS606EW0007","KS606EW0008","KS606EW0009","KS606EW0010","KS606EW0011","KS606EW0012","KS606EW0013","KS606EW0014","KS606EW0015","KS606EW0016","KS606EW0017","KS606EW0018","KS606EW0019","KS606EW0020","KS606EW0021","KS606EW0022","KS606EW0023","KS606EW0024","KS606EW0025","KS606EW0026","KS606EW0027","KS606EW0028","KS606EW0029","KS606EW0030","KS606EW0031","KS606EW0032","KS606EW0033","KS606EW0034","KS606EW0035","KS606EW0036","KS606EW0037"
"E01018934",521,6,8,77,6,10,89,99,29,20,16,5,1,20,7,51,24,30,23,1.15163147792706,1.53550863723608,14.7792706333973,1.15163147792706,1.91938579654511,17.0825335892514,19.0019193857965,5.56621880998081,3.83877159309021,3.07101727447217,0.959692898272553,0.191938579654511,3.83877159309021,1.34357005758157,9.78886756238004,4.60652591170825,5.75815738963532,4.41458733205374
"E01018935",552,4,7,88,10,9,83,120,33,28,10,2,6,19,27,33,22,29,22,0.72463768115942,1.26811594202899,15.9420289855072,1.81159420289855,1.6304347826087,15.036231884058,21.7391304347826,5.97826086956522,5.07246376811594,1.81159420289855,0.36231884057971,1.08695652173913,3.44202898550725,4.89130434782609,5.97826086956522,3.98550724637681,5.2536231884058,3.98550724637681
"E01018936",372,5,1,33,1,7,82,83,5,44,7,4,4,12,12,21,24,18,9,1.34408602150538,0.268817204301075,8.87096774193548,0.268817204301075,1.88172043010753,22.0430107526882,22.3118279569892,1.34408602150538,11.8279569892473,1.88172043010753,1.0752688172043,1.0752688172043,3.2258064516129,3.2258064516129,5.64516129032258,6.45161290322581,4.83870967741935,2.41935483870968
"E01018937",407,8,0,54,5,3,93,89,16,29,4,6,1,10,14,25,20,14,16,1.96560196560197,0,13.2678132678133,1.22850122850123,0.737100737100737,22.8501228501229,21.8673218673219,3.93120393120393,7.12530712530713,0.982800982800983,1.47420147420147,0.245700245700246,2.45700245700246,3.43980343980344,6.14250614250614,4.91400491400491,3.43980343980344,3.93120393120393
"E01018938",331,8,2,27,3,0,80,49,17,22,9,3,1,12,9,32,24,14,19,2.41691842900302,0.604229607250755,8.1570996978852,0.906344410876133,0,24.1691842900302,14.8036253776435,5.13595166163142,6.64652567975831,2.7190332326284,0.906344410876133,0.302114803625378,3.62537764350453,2.7190332326284,9.66767371601208,7.25075528700906,4.22960725075529,5.74018126888217
"E01018940",378,37,7,47,1,2,95,53,12,26,9,4,2,13,14,14,11,16,15,9.78835978835979,1.85185185185185,12.4338624338624,0.264550264550265,0.529100529100529,25.1322751322751,14.021164021164,3.17460317460317,6.87830687830688,2.38095238095238,1.05820105820106,0.529100529100529,3.43915343915344,3.7037037037037,3.7037037037037,2.91005291005291,4.23280423280423,3.96825396825397
"E01018941",376,20,30,53,1,4,84,55,11,34,5,3,5,11,20,8,10,8,14,5.31914893617021,7.97872340425532,14.0957446808511,0.265957446808511,1.06382978723404,22.3404255319149,14.6276595744681,2.92553191489362,9.04255319148936,1.32978723404255,0.797872340425532,1.32978723404255,2.92553191489362,5.31914893617021,2.12765957446809,2.65957446808511,2.12765957446809,3.72340425531915
"E01018942",372,15,8,44,2,4,45,66,20,55,5,0,6,27,15,9,17,17,17,4.03225806451613,2.1505376344086,11.8279569892473,0.537634408602151,1.0752688172043,12.0967741935484,17.741935483871,5.37634408602151,14.7849462365591,1.34408602150538,0,1.61290322580645,7.25806451612903,4.03225806451613,2.41935483870968,4.56989247311828,4.56989247311828,4.56989247311828
"E01018943",578,83,0,55,1,5,114,86,25,35,6,4,6,31,29,27,21,18,32,14.3598615916955,0,9.51557093425606,0.173010380622837,0.865051903114187,19.7231833910035,14.878892733564,4.32525951557093,6.05536332179931,1.03806228373702,0.69204152249135,1.03806228373702,5.36332179930796,5.01730103806228,4.67128027681661,3.63321799307958,3.11418685121107,5.5363321799308
"E01018944",290,30,3,31,2,6,55,50,12,11,4,3,3,17,12,16,13,7,15,10.3448275862069,1.03448275862069,10.6896551724138,0.689655172413793,2.06896551724138,18.9655172413793,17.2413793103448,4.13793103448276,3.79310344827586,1.37931034482759,1.03448275862069,1.03448275862069,5.86206896551724,4.13793103448276,5.51724137931035,4.48275862068965,2.41379310344828,5.17241379310345
"E01018945",335,39,5,27,2,3,63,43,14,16,6,6,7,27,20,16,4,21,16,11.6417910447761,1.49253731343284,8.05970149253731,0.597014925373134,0.895522388059702,18.8059701492537,12.8358208955224,4.17910447761194,4.77611940298508,1.7910447761194,1.7910447761194,2.08955223880597,8.05970149253731,5.97014925373134,4.77611940298508,1.19402985074627,6.26865671641791,4.77611940298508
"E01018946",365,5,1,79,1,3,43,97,28,11,8,5,2,14,14,16,12,16,10,1.36986301369863,0.273972602739726,21.6438356164384,0.273972602739726,0.821917808219178,11.7808219178082,26.5753424657534,7.67123287671233,3.01369863013699,2.19178082191781,1.36986301369863,0.547945205479452,3.83561643835616,3.83561643835616,4.38356164383562,3.28767123287671,4.38356164383562,2.73972602739726
"E01018947",798,16,2,216,4,12,101,177,50,30,6,9,11,20,32,38,24,35,15,2.00501253132832,0.25062656641604,27.0676691729323,0.50125313283208,1.50375939849624,12.65664160401,22.1804511278195,6.265664160401,3.7593984962406,0.75187969924812,1.12781954887218,1.37844611528822,2.5062656641604,4.01002506265664,4.76190476190476,3.00751879699248,4.3859649122807,1.8796992481203
"E01018948",440,8,0,95,1,5,70,90,26,17,5,7,3,20,12,20,18,24,19,1.81818181818182,0,21.5909090909091,0.227272727272727,1.13636363636364,15.9090909090909,20.4545454545455,5.90909090909091,3.86363636363636,1.13636363636364,1.59090909090909,0.681818181818182,4.54545454545455,2.72727272727273,4.54545454545455,4.09090909090909,5.45454545454545,4.31818181818182
"E01018949",320,9,2,83,1,5,34,71,25,11,5,4,1,10,13,6,6,20,14,2.8125,0.625,25.9375,0.3125,1.5625,10.625,22.1875,7.8125,3.4375,1.5625,1.25,0.3125,3.125,4.0625,1.875,1.875,6.25,4.375
"E01018950",480,10,0,110,3,5,48,105,28,40,7,4,1,22,21,17,19,23,17,2.08333333333333,0,22.9166666666667,0.625,1.04166666666667,10,21.875,5.83333333333333,8.33333333333333,1.45833333333333,0.833333333333333,0.208333333333333,4.58333333333333,4.375,3.54166666666667,3.95833333333333,4.79166666666667,3.54166666666667
