LSOA11CD,pop,hect,pop_dens
E01018904,2091,2029.13,1.0304909
E01018905,1316,2018.21,0.652062967
E01018906,1225,91.47,13.39236908
E01018907,1226,56.68,21.63020466
E01018908,1668,894.98,1.863728798
E01018909,1591,55.07,28.890503
E01018910,1861,79.6,23.37939698
E01018911,1684,63.47,26.53221995
E01018912,1467,194.58,7.539315449
E01018913,1837,35.04,52.42579909
E01018914,1873,269.33,6.954293989
E01018915,2037,58.01,35.11463541
E01018916,1328,432.57,3.070023349
E01018917,1373,158.86,8.642830165
E01018918,1772,414.42,4.275855412
E01018919,1348,171.37,7.86602089
E01018920,2008,4174.54,0.481011081
E01018921,2101,1747.53,1.202268344
E01018922,2372,3649.57,0.649939582
E01018923,1250,2988.25,0.418305028
E01018924,1140,5198.33,0.219301199
E01018925,2153,10216.69,0.210733613
E01018926,2354,12101.77,0.194517
E01018927,1574,93.83,16.77501865
E01018928,1754,27.25,64.36697248
E01018929,1274,195.09,6.53031934
E01018930,1603,40.84,39.25073457
E01018931,1184,104.84,11.29339947
E01018932,1680,235.64,7.129519606
E01018933,1418,43.25,32.78612717
E01018934,1990,378.01,5.264410994
E01018935,2259,221.7,10.1894452
E01018936,1518,135.28,11.2211709
E01018937,1898,74.41,25.50732428
E01018938,1675,281.91,5.941612571
E01018940,1558,2846.86,0.547269623
E01018941,1554,1220.18,1.273582586
E01018942,1519,958.04,1.585528788
E01018943,2121,6724.27,0.315424574
E01018944,1194,1951.37,0.611877809
E01018945,1291,2926.06,0.441207631
E01018946,1491,94.45,15.78613023
E01018947,2988,470.45,6.351365714
E01018948,1677,193.96,8.646112601
E01018949,1421,52.89,26.86708262
E01018950,1639,70.14,23.36755061
E01018951,2254,5548.69,0.406222009
E01018952,1167,2172.38,0.537198833
E01018953,1209,4890.14,0.247232186
E01018954,1236,2449.92,0.50450627
E01018955,1606,1594.36,1.007300735
E01018956,1085,2333.37,0.464992693
E01018957,1282,1232.23,1.040390187
E01018958,1352,113.19,11.94451807
E01018959,1445,728.38,1.983854581
E01018960,1920,453.2,4.236540159
E01018961,1478,66.06,22.37359976
E01018962,2174,4592.79,0.473350621
E01018965,2478,5045.25,0.491155047
E01018966,1092,3537.21,0.308717888
E01018967,1367,1936.61,0.705872633
E01018968,2515,11899.36,0.211355905
E01018969,2250,6471.99,0.347651959
E01018970,1521,82.62,18.40958606
E01018971,2015,133.95,15.04292647
E01018972,1789,44.75,39.97765363
E01018973,1396,102.47,13.62349956
E01018974,2570,9723.19,0.264316546
E01018975,1994,178.93,11.1440228
E01018976,2144,327.86,6.539376563
E01018977,1428,19.78,72.19413549
E01018978,1481,775.66,1.909341722
E01018979,1390,1224.75,1.134925495
E01018980,1407,1622.65,0.867100114
E01018981,2046,93.6,21.85897436
E01018982,2149,203.25,10.57318573
E01018983,1609,110.67,14.53871871
E01018984,2118,149.64,14.15396953
E01018985,2324,623.73,3.725971173
E01018986,1568,119,13.17647059
E01018987,2081,2902.66,0.71692861
E01018988,1537,681.23,2.256213026
E01018989,1776,5039.34,0.352427104
E01018990,1810,563.98,3.209333664
E01018991,1518,1227.24,1.236921873
E01018992,1624,2325.48,0.698350448
E01018993,1670,66.85,24.98130142
E01018994,1632,78.15,20.88291747
E01018995,2069,38.05,54.37582129
E01018996,1590,58.67,27.10073291
E01018997,1471,26.47,55.57234605
E01018998,1467,12.73,115.2395915
E01018999,1447,18.97,76.27833421
E01019000,1403,61.15,22.94358136
E01019001,1685,32.03,52.606931
E01019002,1390,401.31,3.463656525
E01019003,1716,167.01,10.27483384
E01019004,1603,49.2,32.58130081
E01019005,2081,3646.02,0.570759349
E01019006,1616,3816.24,0.423453452
E01019007,2202,2704.78,0.814114272
E01019008,1428,22.81,62.604121
E01019009,1520,661.47,2.297912226
E01019010,1372,43.6,31.46788991
E01019011,1445,230.73,6.262731331
E01019012,1778,43.97,40.43666136
E01019013,2214,79.65,27.79661017
E01019014,1395,31.51,44.27165979
E01019015,1467,31.78,46.16110761
E01019016,1881,29.2,64.41780822
E01019017,2342,551.99,4.242830486
E01019018,1611,64.41,25.01164415
E01019019,1417,61.12,23.18390052
E01019020,1441,39.56,36.42568251
E01019021,1486,58.98,25.19498135
E01019022,1726,37.06,46.57312466
E01019023,1596,27.71,57.59653555
E01019024,1446,739.66,1.954952275
E01019025,1441,1823.47,0.790251553
E01019026,1458,137.65,10.59208137
E01019027,1513,89.98,16.81484774
E01019028,2098,84.37,24.86665876
E01019029,1453,36.13,40.21588707
E01019030,1782,75.6,23.57142857
E01019031,1558,533.61,2.919735387
E01019032,1482,59.48,24.91593813
E01019033,1403,53.16,26.39202408
E01019034,1523,381.19,3.99538288
E01019035,1519,426.38,3.562549838
E01019036,1687,3691.82,0.45695619
E01019037,1508,1387.22,1.087066219
E01019038,1106,225.09,4.91359012
E01019039,1411,2293.61,0.615187412
E01019040,1220,538.86,2.264038897
E01019041,1763,42.01,41.96619852
E01019042,1709,38.05,44.91458607
E01019043,1558,78.69,19.7992121
E01019044,1487,43.64,34.07424381
E01019045,2145,138.17,15.52435406
E01019046,1367,22.98,59.48651001
E01019047,1194,65.31,18.2820395
E01019048,1828,463.71,3.942118997
E01019049,1817,487.57,3.726644379
E01019050,1428,1852.8,0.770725389
E01019051,1598,64.97,24.59596737
E01019052,1808,3087.34,0.585617392
E01019053,1942,1421.9,1.365778184
E01019054,1816,1762.16,1.030553412
E01019055,1484,58.39,25.41531084
E01019056,1628,76.29,21.33962511
E01019057,1918,134.46,14.26446527
E01019058,1773,117.36,15.10736196
E01019059,1554,363.39,4.276397259
E01019060,1659,4008.94,0.413825101
E01019061,1728,240.9,7.173100872
E01019062,1944,57.54,33.78519291
E01019063,1963,2614.85,0.750712278
E01019064,1931,3163.76,0.61034971
E01019065,1326,86.55,15.32062392
E01019066,1212,2509.18,0.483026327
E01019067,1143,2185.34,0.523030741
E01019068,1620,421.19,3.846245163
E01019069,1308,640.01,2.043718067
E01019070,1999,399.24,5.007013325
E01019071,1580,2048.74,0.771205717
E01019072,1514,63.54,23.82751023
E01019073,1426,753.18,1.893305717
E01019074,1785,359.72,4.962192817
E01019075,1731,1377.42,1.256697304
E01019076,1870,343.42,5.445227418
E01033289,2239,3096.26,0.723130486
E01033291,1596,1380.1,1.156437939
E01033292,1349,51.86,26.01234092
E01033294,2306,251.82,9.157334604
